ID,Main_Part_ID,Secondary_Part_ID,Sheet_Element_ID,Color,Rebrickable_Name,"Official_Name, Category"
C37,32291.0,42163.0,4140430.0,Black,Technic Axle and Pin Connector Perpendicular Double,Technic Cross Block 2X1,Modified Technic Beams
C38,32316.0,,4211651.0,Medium Stone Grey,Technic Beam 1 x 5 Thick,Technic 5M Beam,Technic Beams
C39,32348.0,42165.0,4509912.0,White,Technic Beam 1 x 7 Bent (4 - 4) Thick,Technic Angular Beam 4X4,Technic Beams
C40,32449.0,63782.0,4142236.0,Black,Technic Beam 1 x 4 Thin,"Lever 1X4, Without Notch",Technic Half Beams
E63,32494.0,53673.0,4268659.0,Medium Stone Grey,Technic Steering / CV Joint,LT Cardan Ball,Functional Elements
C41,32498.0,,4255563.0,Black,Technic Gear 36 Tooth Double Bevel,Double Conical Wheel Z36,Gears & Gear Racks
C42,32523.0,,4142822.0,Black,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
C43,32523.0,,4509376.0,Bright Blue,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
C44,32523.0,,6007973.0,Dark Green,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
C45,32523.0,,4153718.0,Bright Red,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
C46,32523.0,,4153707.0,Bright Yellow,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
E64,32523.0,,4211655.0,Medium Stone Grey,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
E66,32523.0,,4208160.0,White,Technic Beam 1 x 3 Thick,Technic 3M Beam,Technic Beams
C47,32524.0,,4495930.0,Medium Stone Grey,Technic Beam 1 x 7 Thick,Technic 7M Beam,Technic Beams
C48,32525.0,64290.0,4611705.0,Medium Stone Grey,Technic Beam 1 x 11 Thick,Technic 11M Beam,Technic Beams
C49,32526.0,,4211713.0,Medium Stone Grey,Technic Beam 3 x 5 L-Shape Thick,Technic Ang. Beam 3X5 90°,Technic Beams
C50,32526.0,,4585040.0,White,Technic Beam 3 x 5 L-Shape Thick,Technic Ang. Beam 3X5 90°,Technic Beams
C51,32556.0,39888.0,4514554.0,Brick Yellow,Technic Pin Long without Friction Ridges,3M Connector Peg,Connectors
E71,32557.0,,4211714.0,Medium Stone Grey,Technic Pin Connector Perpendicular Long,Technic Crossblock 2X3,Modified Technic Beams
C52,33299.0,61408.0,4156980.0,Black,Technic Beam 3 x 0.5 Liftarm with Boss and Pin / Crank,2X1X3 Steering Knuckle Arm,Modified Technic Half Beams
C53,40490.0,64289.0,4211866.0,Medium Stone Grey,Technic Beam 1 x 9 Thick,Technic 9M Beam,Technic Beams
C54,41239.0,,4522934.0,Medium Stone Grey,Technic Beam 1 x 13 Thick,Technic 13M Beam,Technic Beams
C55,41669.0,48267.0,4173941.0,White,Technic Tooth 1 x 3 with Axle Hole [Rounded Underside],Bion. Eye,Decoration Elements
E74,41669.0,48267.0,4185661.0,Bright Red,Technic Tooth 1 x 3 with Axle Hole [Rounded Underside],Bion. Eye,Decoration Elements
E76,41677.0,44862.0,4211741.0,Medium Stone Grey,Technic Beam 1 x 2 Thin,Technic Lever 2M,Technic Half Beams
E77,41677.0,44862.0,4164133.0,Black,Technic Beam 1 x 2 Thin,Technic Lever 2M,Technic Half Beams
C56,41678.0,,4162857.0,Black,Technic Axle and Pin Connector Perpendicular Double Split,Technic Cross Block/Fork 2X2,Modified Technic Half Beams
C57,41897.0,,6035364.0,Black,Tyre 56 x 28 ZR Street,Tyre Low Wide Ø56 X 28,Large Tyres & Rims
C58,42003.0,42796.0,4210857.0,Dark Stone Grey,Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,Cross Block 3M,Modified Technic Beams
E80,42610.0,,4211758.0,Medium Stone Grey,Wheel 11 x 8 with Center Groove,Hub Ø11.2 X 7.84,Connectors
C59,43093.0,,4206482.0,Bright Blue,Technic Axle Pin with Friction Ridges Lengthwise,Conn.Bush W.Fric./Cross Axle,Connectors
E82,43675.0,78c19,4631648.0,Transparent Light Blue,"Hose, Ribbed 7mm D. 19L",Corrugated Pipe 152MM,Cables & Hoses
E83,43857.0,,4211862.0,Medium Stone Grey,Technic Beam 1 x 2 Thick,Technic 2M Beam,Technic Beams
C60,44294.0,,4211805.0,Medium Stone Grey,Technic Axle 7,Cross Axle 7M,Connectors
E85,44309.0,,4184286.0,Black,Tyre 43.2 x 22 ZR,Tyre Normal Wide Ø43.2 X 22,Large Tyres & Rims
E86,44771.0,,4614801.0,Black,Tyre 68.8 x 36 ZR,Tyre Low Wide Ø68.8 X 36,Large Tyres & Rims
C61,44809.0,,6008527.0,Bright Red,Technic Pin Connector Perpendicular 2 x 2 Bent,HTO V Beam 90°,Modified Technic Beams
C62,45590.0,,4198367.0,Black,Technic Axle Connector Double Flexible [Rubber],Damper 2M,Connectors
C63,48989.0,65489.0,4225033.0,Medium Stone Grey,Technic Pin Connector Hub Perpendicular 3L with 4 Pins,Beam 3 Module W/4 Snap,Modified Technic Beams
